diameter, RMa_min,RMa_max
1.00, 1720, 1970
1.05, 1710, 1950
1.10, 1690, 1940
1.20, 1670, 1910
1.25, 1660, 1900
1.30, 1640, 1890
1.40, 1620, 1860
1.50, 1600, 1840
1.60, 1590, 1820
1.70, 1570, 1800
1.80, 1550, 1780
1.90, 1540, 1760
2.00, 1520, 1750
2.10, 1510, 1730
2.25, 1490, 1710
2.40, 1470, 1690
2.50, 1460, 1680
2.60, 1450, 1660
2.80, 1420, 1640
3.00, 1410, 1620
3.20, 1390, 1600
3.40, 1370, 1580
3.60, 1350, 1560
3.80, 1340, 1540
4.00, 1320, 1520
4.25, 1310, 1500
4.50, 1290, 1490
4.75, 1270, 1470
5.00, 1260, 1450
5.30, 1240, 1430
5.60, 1230, 1420
6.00, 1210, 1390
6.30, 1190, 1380
6.50, 1180, 1370
7.00, 1160, 1340
7.50, 1140, 1320
8.00, 1120, 1300
8.50, 1110, 1280
9.00, 1090, 1260
9.50, 1070, 1250
10.0, 1060, 1230
