diameter, RMa_min,RMa_max
0.30, 2370, 2650
0.32, 2350, 2630
0.34, 2330, 2600
0.36, 2310, 2580
0.38, 2290, 2560
0.40, 2270, 2550
0.43, 2250, 2520
0.45, 2240, 2500
0.48, 2220, 2480
0.50, 2200, 2470
0.53, 2180, 2450
0.56, 2170, 2430
0.60, 2140, 2400
0.63, 2130, 2380
0.65, 2120, 2370
0.70, 2090, 2350
0.75, 2070, 2320
0.80, 2050, 2300
0.85, 2030, 2280
0.90, 2010, 2260
0.95, 2000, 2240
1.00, 1980, 2220
1.05, 1960, 2200
1.10, 1950, 2190
1.20, 1920, 2160
1.25, 1910, 2140
1.30, 1900, 2130
1.40, 1870, 2100
1.50, 1850, 2080
1.60, 1830, 2050
1.70, 1810, 2030
1.80, 1790, 2010
1.90, 1770, 1990
2.00, 1760, 1970
2.10, 1740, 1960
2.25, 1720, 1930
2.40, 1700, 1910
2.50, 1690, 1890
2.60, 1670, 1880
2.80, 1650, 1850
3.00, 1630, 1830
3.20, 1610, 1810
3.40, 1590, 1780
3.60, 1570, 1760
3.80, 1550, 1740
4.00, 1530, 1730
4.25, 1510, 1700
4.50, 1500, 1680
4.75, 1480, 1670
5.00, 1460, 1650
5.30, 1440, 1630
5.60, 1430, 1610
6.00, 1400, 1580
6.30, 1390, 1560
6.50, 1380, 1550
7.00, 1350, 1530
7.50, 1330, 1500
8.00, 1310, 1480
8.50, 1290, 1460
9.00, 1270, 1440
9.50, 1260, 1420
10.0, 1240, 1400
10.5, 1220, 1380
11.0, 1210, 1370
12.0, 1180, 1340
12.5, 1170, 1320
13.0, 1160, 1310
14.0, 1130, 1280
15.0, 1110, 1260
16.0, 1090, 1230
17.0, 1070, 1210
18.0, 1050, 1190
19.0, 1030, 1170
20.0, 1020, 1150
